Trade #,Futures,Mult,Date in,Date out,Dir,Price in,Price out,Comms,P/L,Close seq (68),Days
0,PAZ7,100,9-15-2017,9-25-2017,-1,920.05,918.4,4.72,160.28,2,10
1,RBX7,42000,9-26-2017,9-26-2017,1,1.7442,1.693,4.72,-2155.12,5,0
2,HGZ7,25000,9-28-2017,9-28-2017,-1,2.9075,2.967,4.72,-1492.22,9,0
3,PAZ7,100,9-28-2017,10-2-2017,1,926.45,919.15,4.72,-734.72,10,4
4,RBX7,42000,10-2-2017,10-5-2017,-1,1.5871,1.5916,4.72,-193.72,13,3
5,HGZ7,25000,10-4-2017,10-18-2017,1,2.972,3.189,4.72,5420.28,25,14
6,PAZ7,100,10-10-2017,10-16-2017,1,933.05,972.55,4.72,3945.28,20,6
7,RBX7,42000,10-13-2017,10-25-2017,1,1.6143,1.7326,4.72,4963.88,30,12
8,HGZ7,25000,10-23-2017,10-26-2017,1,3.211,3.15,4.72,-1529.72,32,3
9,CLZ7,1000,10-25-2017,11-13-2017,1,52.62,56.48,4.72,3855.28,41,19
10,PAZ7,100,10-30-2017,11-3-2017,1,969.35,990,4.72,2060.28,37,4
11,HGZ7,25000,11-9-2017,11-21-2017,1,3.066,3.0975,4.72,782.78,48,12
12,PAZ7,100,11-22-2017,11-28-2017,1,1000.1,1015.45,4.72,1530.28,56,6
13,HGZ7,25000,11-26-2017,11-28-2017,1,3.175,3.0735,4.72,-2542.22,54,2
14,HGZ7,25000,11-29-2017,11-30-2017,-1,3.0275,3.0555,4.72,-704.72,58,1